,player,team,beta_yards
0,A.Green,ARI,19.327891526891957
1,E.Benjamin,ARI,17.554838708257158
2,G.Dortch,ARI,24.451754449858726
3,J.Conner,ARI,21.793846522167666
4,M.Brown,ARI,74.36554940006023
5,Z.Ertz,ARI,44.04386355426967
6,A.Baccellia,ARI,8.7013837467456
7,S.Anderson,ARI,5.798753711199496
8,R.Moore,ARI,50.54847930038063
9,T.McBride,ARI,19.842671059654307
10,D.Hopkins,ARI,81.44335759656315
11,K.Ingram,ARI,4.672596161739815
12,R.Anderson,ARI,30.89082670261602
13,M.Williams,ARI,4.548942117355982
14,A.Firkser,ATL,14.046183190607925
15,A.Williams,ATL,5.212884192638597
16,C.Patterson,ATL,10.274919829309141
17,D.London,ATL,53.64095042087288
18,K.Hodge,ATL,9.73466169181372
19,K.Pitts,ATL,45.78986661453986
20,O.Zaccheaus,ATL,32.90276029564613
21,P.Hesse,ATL,6.965736515580354
22,B.Edwards,ATL,5.212884192638597
23,T.Allgeier,ATL,8.978945893803504
24,K.Smith,ATL,4.548942117355982
25,M.Pruitt,ATL,10.0464682040037
26,D.Byrd,ATL,18.984415682664537
27,C.Huntley,ATL,4.672596161739815
28,D.Duvernay,BAL,17.794217298389576
29,D.Robinson,BAL,49.73387647724626
30,J.Hill,BAL,7.4373207172938045
31,K.Drake,BAL,13.706391170893061
32,M.Andrews,BAL,49.64222323199653
33,P.Ricard,BAL,6.745325597099311
34,R.Bateman,BAL,36.26103947395751
35,I.Likely,BAL,21.275086626457046
36,T.Wallace,BAL,6.51354624091468
37,J.Oliver,BAL,12.69512058861037
38,J.Proche,BAL,11.340007097553718
39,M.Davis,BAL,4.992902645485114
40,D.Knox,BUF,35.604255212844905
41,D.Singletary,BUF,11.598298299979412
42,G.Davis,BUF,50.39423667178996
43,I.McKenzie,BUF,36.339510201292775
44,S.Diggs,BUF,82.0485433924009
45,J.Kumerow,BUF,8.607130401896404
46,Q.Morris,BUF,4.630556340661974
47,R.Gilliam,BUF,4.548942117355982
48,J.Cook,BUF,17.645901324089753
49,K.Shakir,BUF,5.6835835076574766
50,I.Hodgins,BUF,27.943689672949812
51,N.Hines,BUF,22.344633448229114
52,C.McCaffrey,CAR,42.74126263166013
53,D.Moore,CAR,47.77364591752934
54,I.Thomas,CAR,11.738053553087092
55,S.Smith,CAR,13.301430469605469
56,T.Tremble,CAR,10.114151541578007
57,G.Ricci,CAR,4.672596161739815
58,S.Sullivan,CAR,5.2623017340829055
59,L.Shenault,CAR,20.342132458566187
60,T.Marshall,CAR,37.51038309273366
61,C.Hubbard,CAR,13.06448475590189
62,D.Foreman,CAR,5.533190676383897
63,R.Blackshear,CAR,11.26439738911821
64,B.Pringle,CHI,7.010410711958193
65,D.Montgomery,CHI,21.486309603970412
66,D.Mooney,CHI,29.49011514319126
67,D.Pettis,CHI,16.114891850867846
68,E.St. Brown,CHI,22.26948072367374
69,K.Herbert,CHI,4.672596161739815
70,R.Griffin,CHI,4.548942117355982
71,C.Kmet,CHI,40.39406461838911
72,T.Ebner,CHI,4.548942117355982
73,T.Wesco,CHI,4.548942117355982
74,V.Jones,CHI,5.212884192638597
75,C.Claypool,CHI,42.96772990602273
76,H.Hurst,CIN,36.4709176335972
77,J.Chase,CIN,77.44435634565437
78,J.Mixon,CIN,26.03198168062516
79,Mi.Thomas,CIN,5.4847746514230415
80,S.Perine,CIN,25.898570978639338
81,T.Boyd,CIN,30.86250348066825
82,T.Higgins,CIN,53.00300371834907
83,M.Wilcox,CIN,10.82827546758286
84,C.Evans,CIN,5.584404076761133
85,T.Irwin,CIN,22.924601631122705
86,T.Taylor,CIN,17.273401776721695
87,A.Cooper,CLE,69.19700544763305
88,A.Schwartz,CLE,10.259481232970835
89,D.Njoku,CLE,44.3581871397338
90,D.Peoples-Jones,CLE,61.51724068522969
91,H.Bryant,CLE,11.323128592790399
92,K.Hunt,CLE,17.309642488475877
93,N.Chubb,CLE,14.810633117479803
94,Dav.Bell,CLE,22.08372912810084
95,M.Woods,CLE,6.267820938154872
96,P.Brown,CLE,17.960392971691707
97,C.Lamb,DAL,75.00379326528943
98,D.Schultz,DAL,53.90200639115794
99,E.Elliott,DAL,15.47415106229385
100,N.Brown,DAL,29.466859149952477
101,T.Pollard,DAL,23.307251126054062
102,J.Ferguson,DAL,10.786787613015811
103,J.Tolbert,DAL,4.83670724119363
104,P.Hendershot,DAL,4.894250375727964
105,M.Gallup,DAL,47.20753518769871
106,S.McKeon,DAL,4.672596161739815
107,K.Turpin,DAL,4.548942117355982
108,A.Beck,DEN,4.548942117355982
109,A.Okwuegbunam,DEN,8.799105805499536
110,C.Sutton,DEN,44.64868341266584
111,J.Jeudy,DEN,47.2707503728775
112,M.Boone,DEN,14.22111706970559
113,M.Gordon,DEN,23.62923291027602
114,E.Saubert,DEN,6.5129754423792985
115,K.Hinton,DEN,29.15942684877286
116,K.Hamler,DEN,24.539378566565002
117,M.Washington,DEN,5.3769952720924135
118,R.Wilson,DEN,4.548942117355982
119,E.Tomlinson,DEN,6.390753018089205
120,G.Dulcich,DEN,40.12137358227234
121,L.Murray,DEN,16.006129400002887
122,C.Edmonds,DEN,7.790703061526659
123,A.St. Brown,DET,76.6738319714306
124,D.Chark,DET,40.981151632108556
125,D.Swift,DET,24.6804702914042
126,J.Reynolds,DET,33.45289047205403
127,Ja.Williams,DET,4.548942117355982
128,T.Hockenson,DET,46.0362701446945
129,B.Wright,DET,9.089827498457874
130,C.Reynolds,DET,9.809191009904907
131,K.Raymond,DET,24.19872460843226
132,J.Jackson,DET,12.34584811262413
133,J.Jackson,DET,12.34584811262413
134,J.Jackson,DET,13.123941985530417
135,J.Jackson,DET,13.123941985530417
136,T.Kennedy,DET,10.435939135705059
137,J.Goff,DET,4.548942117355982
138,J.Mitchell,DET,5.881745201230231
139,S.Zylstra,DET,9.33605493639664
140,P.Sewell,DET,4.967205359604707
141,A.Dillon,GB,17.4995693442314
142,A.Jones,GB,26.421604152887472
143,C.Watson,GB,55.32669982012745
144,J.Deguara,GB,8.607130401896404
145,R.Cobb,GB,34.28329076663597
146,R.Doubs,GB,34.68147344751155
147,R.Tonyan,GB,22.97072072168294
148,S.Watkins,GB,9.395617796815262
149,T.Davis,GB,4.548942117355982
150,A.Lazard,GB,49.02559165524245
151,M.Lewis,GB,5.21206548928661
152,Am.Rodgers,GB,5.212884192638597
153,Am.Rodgers,GB,6.93419994229279
154,Am.Rodgers,GB,14.357750586283192
155,Am.Rodgers,GB,18.29815805190113
156,S.Toure,GB,13.591461728083516
157,B.Cooks,HOU,43.679872660184266
158,B.Jordan,HOU,14.37852420565393
159,C.Moore,HOU,48.4350418281058
160,D.Pierce,HOU,12.118100970460004
161,N.Collins,HOU,61.2296532178362
162,O.Howard,HOU,8.963216884953352
163,R.Burkhead,HOU,9.779121551221994
164,T.Hairston,HOU,4.672596161739815
165,J.Akins,HOU,21.47452848208378
166,P.Dorsett,HOU,20.983984111637085
167,D.Ogunbowale,HOU,11.483240138429966
168,T.Quitoriano,HOU,5.455332004988969
169,A.Dulin,IND,9.265593402173689
170,J.Taylor,IND,20.062415454412932
171,K.Granson,IND,21.782896318101646
172,M.Alie-Cox,IND,9.962891233687133
173,M.Pittman,IND,49.7074728514496
174,M.Strachan,IND,4.548942117355982
175,P.Campbell,IND,34.24596942107772
176,A.Pierce,IND,31.12735061720097
177,J.Woods,IND,29.528939134159053
178,D.Jackson,IND,6.4319320176086885
179,C.Kirk,JAX,62.86949065338291
180,E.Engram,JAX,50.045993475303874
181,J.Agnew,JAX,17.509393221292257
182,J.Robinson,JAX,4.83670724119363
183,M.Jones,JAX,23.038895351097874
184,T.Etienne,JAX,11.022191983995073
185,Z.Jones,JAX,60.0948988822305
