,player,team,beta_yards
0,A.Green,ARI,14.528262344920314
1,E.Benjamin,ARI,17.554838708257158
2,G.Dortch,ARI,31.019250922094397
3,J.Conner,ARI,27.0344280818576
4,M.Brown,ARI,54.98184651867586
5,Z.Ertz,ARI,44.04386355426967
6,A.Baccellia,ARI,8.7013837467456
7,S.Anderson,ARI,4.83670724119363
8,R.Moore,ARI,50.54847930038063
9,T.McBride,ARI,24.13351078295492
10,D.Hopkins,ARI,67.83091934481459
11,K.Ingram,ARI,4.548942117355982
12,R.Anderson,ARI,30.89082670261602
13,M.Williams,ARI,7.214497172320728
14,A.Firkser,ATL,12.375470796279984
15,A.Williams,ATL,9.95396324002711
16,C.Patterson,ATL,12.593495555035432
17,D.London,ATL,50.06463980824654
18,K.Hodge,ATL,6.174684686749383
19,K.Pitts,ATL,45.78986661453986
20,O.Zaccheaus,ATL,34.097685427859616
21,P.Hesse,ATL,7.0079027506899125
22,B.Edwards,ATL,5.212884192638597
23,T.Allgeier,ATL,13.258211275535963
24,K.Smith,ATL,4.548942117355982
25,M.Pruitt,ATL,10.800718785181667
26,D.Byrd,ATL,16.443066885301242
27,C.Huntley,ATL,4.672596161739815
28,D.Duvernay,BAL,20.112121197570602
29,D.Robinson,BAL,37.25707629671361
30,J.Hill,BAL,6.860017880684616
31,K.Drake,BAL,13.706391170893061
32,M.Andrews,BAL,47.42543232474792
33,P.Ricard,BAL,5.212884192638597
34,R.Bateman,BAL,36.26103947395751
35,I.Likely,BAL,17.070439906641894
36,T.Wallace,BAL,6.51354624091468
37,J.Dobbins,BAL,5.212884192638597
38,J.Oliver,BAL,19.34093496674867
39,J.Proche,BAL,6.703822476393133
40,D.Jackson,BAL,20.604065287811196
41,M.Davis,BAL,4.992902645485114
42,S.Watkins,BAL,9.395617796815262
43,D.Knox,BUF,42.00075427502715
44,D.Singletary,BUF,15.918575839547008
45,G.Davis,BUF,48.02784018791304
46,I.McKenzie,BUF,29.03839128352275
47,S.Diggs,BUF,53.5005316043327
48,Z.Moss,BUF,4.869248601101281
49,J.Kumerow,BUF,8.607130401896404
50,Q.Morris,BUF,4.672596161739815
51,R.Gilliam,BUF,5.5592046664944155
52,J.Cook,BUF,18.541008801781107
53,K.Shakir,BUF,4.992902645485114
54,I.Hodgins,BUF,45.69999384109514
55,N.Hines,BUF,22.344633448229114
56,C.McCaffrey,CAR,34.97577698078732
57,D.Moore,CAR,44.27438299288604
58,I.Thomas,CAR,12.609708939522061
59,S.Smith,CAR,19.063258944085284
60,T.Tremble,CAR,10.949391268297175
61,G.Ricci,CAR,4.672596161739815
62,S.Sullivan,CAR,4.548942117355982
63,L.Shenault,CAR,20.551972211780125
64,T.Marshall,CAR,29.96326391462438
65,C.Hubbard,CAR,12.00356428794496
66,D.Foreman,CAR,4.548942117355982
67,R.Blackshear,CAR,8.636854531211277
68,B.Pringle,CHI,16.50743860797925
69,D.Montgomery,CHI,22.24907109366479
70,D.Mooney,CHI,29.49011514319126
71,D.Pettis,CHI,18.302916609280857
72,E.St. Brown,CHI,16.40167366735053
73,K.Herbert,CHI,6.240266280242866
74,R.Griffin,CHI,4.869248601101281
75,C.Kmet,CHI,40.11369826829556
76,T.Ebner,CHI,4.548942117355982
77,T.Wesco,CHI,4.548942117355982
78,V.Jones,CHI,17.352965093168482
79,C.Claypool,CHI,42.96772990602273
80,H.Hurst,CIN,36.4709176335972
81,J.Chase,CIN,79.0884727697329
82,J.Mixon,CIN,31.922420128009303
83,Mi.Thomas,CIN,5.4847746514230415
84,S.Perine,CIN,23.884496409241233
85,T.Boyd,CIN,27.581949858934923
86,T.Higgins,CIN,56.066816684401125
87,M.Wilcox,CIN,20.304839565682567
88,C.Evans,CIN,5.584404076761133
