,player,team,beta_yards
0,A.Green,ARI,16.690763311664515
1,E.Benjamin,ARI,17.554838708257158
2,G.Dortch,ARI,13.890367168706684
3,J.Conner,ARI,26.096171263562322
4,M.Brown,ARI,55.43866549521818
5,Z.Ertz,ARI,44.04386355426967
6,A.Baccellia,ARI,8.7013837467456
7,S.Anderson,ARI,6.368691148478223
8,R.Moore,ARI,50.54847930038063
9,T.McBride,ARI,23.41778667395631
10,D.Hopkins,ARI,74.3419411326078
11,K.Ingram,ARI,4.548942117355982
12,R.Anderson,ARI,30.89082670261602
13,M.Williams,ARI,7.939266431588234
14,A.Firkser,ATL,11.361800414442673
15,A.Williams,ATL,7.985977794504262
16,C.Patterson,ATL,14.353446322175115
17,D.London,ATL,51.703170757009445
18,K.Hodge,ATL,9.116920919058181
19,K.Pitts,ATL,45.78986661453986
20,O.Zaccheaus,ATL,29.404460958599522
21,P.Hesse,ATL,5.139975678487771
22,B.Edwards,ATL,5.212884192638597
23,T.Allgeier,ATL,6.588127421900172
24,K.Smith,ATL,4.548942117355982
25,M.Pruitt,ATL,12.673050433052111
26,D.Byrd,ATL,10.133042192834106
27,C.Huntley,ATL,4.672596161739815
28,D.Duvernay,BAL,20.112121197570602
29,D.Robinson,BAL,47.82839143299586
30,J.Hill,BAL,7.714085025531564
31,K.Drake,BAL,13.706391170893061
32,M.Andrews,BAL,43.293788039317654
33,P.Ricard,BAL,6.267820938154872
34,R.Bateman,BAL,36.26103947395751
35,I.Likely,BAL,22.706503621158056
36,T.Wallace,BAL,6.51354624091468
37,J.Dobbins,BAL,7.867743029569602
38,J.Oliver,BAL,14.160997748020518
39,J.Proche,BAL,6.703822476393133
40,M.Davis,BAL,4.992902645485114
41,S.Watkins,BAL,9.395617796815262
42,G.Edwards,BAL,4.548942117355982
43,D.Knox,BUF,41.856884604646204
44,D.Singletary,BUF,16.14416016225152
45,G.Davis,BUF,51.91462760724357
46,I.McKenzie,BUF,39.381891693624254
47,S.Diggs,BUF,75.13210585552554
48,Z.Moss,BUF,4.548942117355982
49,J.Kumerow,BUF,8.607130401896404
50,Q.Morris,BUF,5.682858710878248
51,R.Gilliam,BUF,4.548942117355982
52,J.Cook,BUF,14.374519696954312
53,K.Shakir,BUF,5.690388851583036
54,I.Hodgins,BUF,33.7598331953466
55,N.Hines,BUF,22.344633448229114
56,C.McCaffrey,CAR,38.732514648217936
57,D.Moore,CAR,37.35150764215971
58,I.Thomas,CAR,8.960202840665591
59,S.Smith,CAR,17.692869386183194
60,T.Tremble,CAR,11.983140397725771
61,G.Ricci,CAR,4.672596161739815
62,S.Sullivan,CAR,4.944486620524259
63,L.Shenault,CAR,12.197256406708549
64,T.Marshall,CAR,29.62292280531029
65,C.Hubbard,CAR,17.548024742672816
66,D.Foreman,CAR,5.212884192638597
67,R.Blackshear,CAR,8.766819947282197
68,B.Pringle,CHI,13.44307629161358
69,D.Montgomery,CHI,24.329020509774423
70,D.Mooney,CHI,29.49011514319126
71,D.Pettis,CHI,16.428285430358468
72,E.St. Brown,CHI,16.40167366735053
73,K.Herbert,CHI,4.672596161739815
74,R.Griffin,CHI,4.548942117355982
75,C.Kmet,CHI,38.93352212236491
76,T.Ebner,CHI,4.548942117355982
77,T.Wesco,CHI,4.548942117355982
78,V.Jones,CHI,8.757259313734993
79,C.Claypool,CHI,42.96772990602273
80,H.Hurst,CIN,36.4709176335972
81,J.Chase,CIN,77.4636269271801
82,J.Mixon,CIN,29.39128707070797
83,Mi.Thomas,CIN,5.4847746514230415
84,S.Perine,CIN,20.330823402535675
85,T.Boyd,CIN,33.04015393940292
86,T.Higgins,CIN,54.078090438663054
87,M.Wilcox,CIN,14.496054576021264
88,C.Evans,CIN,5.584404076761133
89,T.Irwin,CIN,20.06177506732907
90,T.Taylor,CIN,12.175516510130322
91,D.Asiasi,CIN,4.548942117355982
92,A.Cooper,CLE,61.56599066682957
93,A.Schwartz,CLE,10.259481232970835
94,D.Njoku,CLE,39.34765096809227
95,D.Peoples-Jones,CLE,46.56379050704059
96,H.Bryant,CLE,12.120550063273003
97,K.Hunt,CLE,13.877393606501755
98,N.Chubb,CLE,11.66395585749736
99,Dav.Bell,CLE,22.08372912810084
100,M.Woods,CLE,6.241084983594853
101,P.Brown,CLE,17.960392971691707
102,C.Lamb,DAL,80.08096416466196
103,D.Schultz,DAL,44.87514769902715
104,E.Elliott,DAL,13.831836292741375
105,N.Brown,DAL,29.575931790197913
106,T.Pollard,DAL,27.063171342114714
107,J.Ferguson,DAL,10.786787613015811
108,J.Tolbert,DAL,4.83670724119363
109,P.Hendershot,DAL,6.390753018089205
110,M.Gallup,DAL,41.73619563804355
111,S.McKeon,DAL,4.672596161739815
112,K.Turpin,DAL,4.548942117355982
113,A.Beck,DEN,4.548942117355982
114,A.Okwuegbunam,DEN,8.799105805499536
115,C.Sutton,DEN,44.64868341266584
116,J.Jeudy,DEN,47.07326921750981
117,M.Boone,DEN,14.22111706970559
118,M.Gordon,DEN,23.62923291027602
119,E.Saubert,DEN,11.273587705725449
120,K.Hinton,DEN,29.15942684877286
121,K.Hamler,DEN,24.539378566565002
122,M.Washington,DEN,4.894250375727964
123,R.Wilson,DEN,4.548942117355982
124,E.Tomlinson,DEN,10.203860486805427
125,G.Dulcich,DEN,36.299649013566736
126,L.Murray,DEN,11.258951721957215
127,C.Edmonds,DEN,7.790703061526659
128,J.Virgil,DEN,5.93766509314474
129,A.St. Brown,DET,75.40808608309902
130,D.Chark,DET,42.834168943909866
131,D.Swift,DET,27.4916753334581
132,J.Reynolds,DET,19.676706989881286
133,Ja.Williams,DET,4.548942117355982
134,Ja.Williams,DET,5.510742611466767
135,Ja.Williams,DET,6.895863355410095
136,Ja.Williams,DET,7.8576638495208755
137,T.Hockenson,DET,48.536711719766046
138,B.Wright,DET,14.287255937482533
139,C.Reynolds,DET,9.809191009904907
140,K.Raymond,DET,30.108632074535116
141,J.Jackson,DET,11.995414506681803
142,J.Jackson,DET,11.995414506681803
143,J.Jackson,DET,13.037430109171062
144,J.Jackson,DET,13.037430109171062
145,T.Kennedy,DET,10.435939135705059
146,J.Goff,DET,4.548942117355982
147,J.Mitchell,DET,7.2029315077724325
148,S.Zylstra,DET,9.297634708793257
149,P.Sewell,DET,4.630556340661974
150,J.Cabinda,DET,4.548942117355982
